Country of residence,YE Jun20 Visitors,YE Jun21 Visitors,Change,% Change
New Zealand,"929,488",77315,-852173,-91.7
Japan,"344,832",1317,-343514,-99.6
Hong Kong,"203,526",2021,-201505,-99
Singapore,"276,654",3290,-273364,-98.8
Malaysia,"231,161",870,-230290,-99.6
Indonesia,"131,644",1257,-130387,-99
Taiwan,"121,667",286,-121381,-99.8
Thailand,"63,658",575,-63082,-99.1
Korea,"172,300",638,-171662,-99.6
China,"821,106",3210,-817896,-99.6
India,"271,199",2934,-268265,-98.9
Other Asia,"318,116",4337,-313779,-98.6
United States of America,"548,440",8969,-539472,-98.4
Canada,"132,582",1356,-131226,-99
United Kingdom,"529,740",7208,-522531,-98.6
Germany,"153,750",1232,-152518,-99.2
Scandinavia,"81,639",847,-80792,-99
France,"106,082",1206,-104876,-98.9
Italy,"56,781",868,-55913,-98.5
Netherlands,"49,100",720,-48380,-98.5
Switzerland,"39,621",397,-39223,-99
Other Europe,"212,063",4524,-207539,-97.9
Other Countries,"401,317",13060,-388257,-96.7
